userId,factors
10,WrappedArray(-0.75983226, -1.1226165, 0.11051872, 0.31153306, 1.9561812)
20,WrappedArray(-0.55055916, -0.73136216, 0.5776079, 1.5452415, 0.9564718)
30,WrappedArray(-0.41585404, -1.4656557, -0.16549577, 0.51237375, 1.851879)
40,WrappedArray(-0.84167093, -1.074042, -0.0017040331, 0.4586604, 1.0992908)
50,WrappedArray(-0.041269008, -2.2197845, -0.49162033, -0.7113641, 0.8286562)
60,WrappedArray(-0.974214, -1.1621629, -0.10635675, 0.32884452, 1.7671815)
70,WrappedArray(-0.7588502, -0.9593469, 0.27421483, 0.41499212, 1.6760838)
80,WrappedArray(-0.7808857, -1.1324259, 0.022551201, 0.58043057, 1.5341759)
90,WrappedArray(-0.76334053, -0.77479774, -0.094245836, 0.4515636, 2.189973)
100,WrappedArray(-0.5813502, -0.6577355, 0.61763185, 0.6454006, 1.7411017)
110,WrappedArray(-0.109986335, -1.2051209, 0.48668307, 0.78646356, 1.3653836)
120,WrappedArray(-0.46625695, -1.1448557, -0.4238604, 0.9479523, 1.6714977)
130,WrappedArray(-0.32856837, -1.705892, 0.70161283, 0.4670439, 1.8318415)
140,WrappedArray(-0.8456725, -1.0632428, -0.47067705, 0.69355845, 1.6864587)
150,WrappedArray(-0.7532029, -1.770411, -0.05033352, -0.052264456, 1.4008267)
160,WrappedArray(-0.7260278, -1.3487732, 0.06226022, -0.5202093, 1.8018512)
170,WrappedArray(-0.33730823, -1.1778895, 0.62092525, 1.6242764, 1.5336084)
180,WrappedArray(-1.0118151, -1.4981089, -0.4465069, 0.41991365, 1.5409342)
190,WrappedArray(-0.93174046, -1.2244005, 0.5682562, 0.5227228, 1.2693043)
200,WrappedArray(-0.64048433, -1.4490168, 0.74527484, 0.65523535, 1.7883912)
210,WrappedArray(-0.86826634, -1.1202524, 0.07636624, 0.50050765, 1.8915598)
220,WrappedArray(-0.76415014, -1.8536808, -0.26909715, 0.70670474, 1.2400191)
